scheme,45,50,55,60,65,70,75,80,name
Rural_Male,1,0.92,0.89,0.85,0.8,0.71,0.5,0.27,Rural Male
Rural_Female,0.81,0.82,0.74,0.73,0.64,0.59,0.36,0.17,Rural Female
Urban_Male,1,0.9,0.77,0.59,0.35,0.3,0.16,0.06,Urban Male
Urban_Female,0.79,0.65,0.33,0.27,0.17,0.19,0.06,0.01,Urban Female
Rural,0.84,0.87,0.81,0.79,0.72,0.63,0.43,0.21,Rural
Urban,0.81,0.76,0.54,0.43,0.27,0.26,0.12,0.04,Urban
Total,0.83,0.85,0.76,0.72,0.63,0.54,0.35,0.17,Total
