Pension Subsidy to the Oldest Old,Population,Median Annual Pension Benefit,Median Share of Expenditure
Pension Subsidy to the Oldest Old,3.6,111,19.1
New Rural Social Pension Insurance,18.2,111,21
Urban and Other Residents' Pension,14.4,186,38.7
Other Pension,2.7,1485,150.7
Firm Supplemental Pension,1.2,2042,169.7
Commercial Pension,0.3,2228,106.1
Firm Basic Pension,10.7,2785,192.9
Government or Institutions' Pension,10.9,3713,242.2
